電腦版中，預設按下哪個按鍵甩尾？,2,Ctrl,Q,Shift,8
極速領域是不是一種跑跑卡丁車？,1,是,不是,介於是與不是之間,根據機器學習結果來說是
手機版中，L1駕照考試最後一關是？,0,太空蜿蜒跑道,城鎮高速公路,城鎮公路,礦山曲折滑坡
以下角色，誰沒有出現在跑跑卡丁車裡？,1,梅蒂兒,霧雨魔理莎,宅宅橘,工頭
沒有以下哪一種模式？,3,個人競速賽,個人道具賽,團體競速賽,個人激鬥模式
以下角色，何者不是初始可選擇角色？,2,藍寶,痞子妹,蒂雅,以上皆是
電腦版中，L1駕照考試倒數第二關是？,1,礦山曲折滑坡,城堡隱藏的密室,城鎮高速公路,太空蜿蜒跑道
電腦版中，PRO駕照的期限是？,1,永久,90天,60天,365天
電腦版中，到目前為止（2020/06/25），尚未推出以下哪一款車種？,2,賣場競速推車9,巧克棒棒9,練習用卡丁車HT+,舒適X
電腦版中，加工廠零件的最高稀有度等級是？,0,神話,傳說,稀有,一般
下列哪個賽道沒有出現在跑跑卡丁車的任何一款遊戲裡？,1,城鎮手指,11城,城鎮高速公路,森林髮夾彎
手機版中，安全帽的功用是？,1,裝飾,提供參考安全路線,加速,守法用
電腦版中，黃金月兔 X沒有以下哪一項能力值？（未改裝工廠、加工廠等…）,2,"[香蕉], [地雷], [水地雷]100%防禦",[飛彈] 同時發射2發,"大魔王,R博士,殭屍道具絕對防禦",在道具戰中，可使用3個道具欄位
下列哪個車款沒有出現在跑跑卡丁車的任何一款遊戲裡？,1,黑騎士X,黑騎士C1,黑騎士9,暴走黑騎士HT
電腦版中，工廠改裝時，最多可以保護幾個功能？,1,1個,2個,3個,4個
